"CVS Info: $Id: SR04C-PS-portShutterPermits.csv,v 1.2 2006/12/18 10:31:35 karb Exp $ $Name:  $",,,,,,,,,,
,"Id","Module","Input","Record","Label1","Label2","Label3","Type","LineEnd","RelDisp","Reset","PreviousId"
0,0,0,"24v"," ","24v","24v","24v","no"," "," ",0
1,1,1,"SR04C-PS-KEY-01"," ","LINAC OPERATE","KEY OFF","dup","no"," "," ",0
2,1,2,"SR04C-PS-KEY-02"," ","LINAC OPERATE","KEY OFF","dup","no"," "," ",1
3,2,1,"SR04C-PS-SRKEY-01"," ","SR OPERATE","KEY OFF","dup","no"," "," ",0
4,2,2,"SR04C-PS-SRKEY-02"," ","SR OPERATE","KEY OFF","dup","yes"," "," ",3
5,14,3,"SR04C-PS-TOPUP-03"," "," ","TOPUP MODE","dup","no","SR04C-PS-topUpMode.edl"," ",0
6,14,4,"SR04C-PS-TOPUP-04"," "," ","TOPUP MODE","dup","yes","SR04C-PS-topUpMode.edl"," ",5
7,5,1,"SR04C-PS-BTS-01"," "," ","BTS OFF","dup","no","BR01C-PS-btsOff.edl"," ",0
8,5,2,"SR04C-PS-BTS-02"," "," ","BTS OFF","dup","yes","BR01C-PS-btsOff.edl"," ",7
9,0,0,"bypass"," ","bypass","bypass","bypass","no"," "," ",2
10,14,0,"SR04C-PS-IOC-02"," ","LOP5","SR MODE OK","lop","yes"," "," ",9
11,1,3,"SR04C-PS-FESHT-01"," ","FE04I SHUTTER","INTERLOCK","dup","no"," "," ",2
12,1,4,"SR04C-PS-FESHT-02"," ","FE04I SHUTTER","INTERLOCK","dup","no"," "," ",11
13,1,0,"SR04C-PS-IOC-02","LOP1","FE04I PORT SHUTTER","PERMIT","lop","yes"," "," ",12
14,2,3,"SR04C-PS-FESHT-03"," ","FE04B SHUTTER","INTERLOCK","dup","no"," "," ",2
15,2,4,"SR04C-PS-FESHT-04"," ","FE04B SHUTTER","INTERLOCK","dup","no"," "," ",14
16,2,0,"SR04C-PS-IOC-02","LOP2","FE04B PORT SHUTTER","PERMIT","lop","yes"," "," ",15
17,3,3,"SR04C-PS-FESHT-05"," ","FE05I SHUTTER","INTERLOCK","dup","no"," "," ",2
18,3,4,"SR04C-PS-FESHT-06"," ","FE05I SHUTTER","INTERLOCK","dup","no"," "," ",17
19,3,0,"SR04C-PS-IOC-02","LOP3","FE05I PORT SHUTTER","PERMIT","lop","yes"," "," ",18
20,4,3,"SR04C-PS-FESHT-07"," ","FE05B SHUTTER","INTERLOCK","dup","no"," "," ",2
21,4,4,"SR04C-PS-FESHT-08"," ","FE05B SHUTTER","INTERLOCK","dup","no"," "," ",20
22,4,0,"SR04C-PS-IOC-02","LOP4","FE05B PORT SHUTTER","PERMIT","lop","yes"," "," ",21
